amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,
บ้านบึง,ชลบุรี,20.44,8.88,9.53,47.39,366,13.25,101.18,Moderate,#ffff00,บ้านบึง|ชลบุรี
เมืองเพชรบูรณ์,เพชรบูรณ์,26.15,15.75,7.99,70.33,366,16.383,101.182,Unhealthy for Sensitive,#ff7e00,เมืองเพชรบูรณ์|เพชรบูรณ์
บ่อเกลือ,น่าน,27.88,19.23,9.15,97.19,366,19.102,101.19,Unhealthy for Sensitive,#ff7e00,บ่อเกลือ|น่าน
ท่าหลวง,ลพบุรี,24.77,10.88,11.01,57.14,366,15.054,101.194,Moderate,#ffff00,ท่าหลวง|ลพบุรี
บางคล้า,ฉะเชิงเทรา,22.23,9.45,10.6,52.55,366,13.745,101.207,Moderate,#ffff00,บางคล้า|ฉะเชิงเทรา
ด่านซ้าย,เลย,25.66,15.72,8.83,70.36,366,17.231,101.218,Unhealthy for Sensitive,#ff7e00,ด่านซ้าย|เลย
พนัสนิคม,ชลบุรี,21.44,9.39,9.93,51.07,366,13.468,101.219,Moderate,#ffff00,พนัสนิคม|ชลบุรี
เบตง,ยะลา,11.61,2.2,7.34,18.44,366,5.862,101.229,Good,#00e400,เบตง|ยะลา
เมืองนครนายก,นครนายก,20.28,8.68,8.36,63.62,366,14.279,101.231,Moderate,#ffff00,เมืองนครนายก|นครนายก
แม่ลาน,ปัตตานี,15.62,2.94,8.82,24.05,366,6.671,101.233,Moderate,#ffff00,แม่ลาน|ปัตตานี
เมืองยะลา,ยะลา,15.64,2.92,8.36,23.97,366,6.553,101.241,Moderate,#ffff00,เมืองยะลา|ยะลา
บ้านสร้าง,ปราจีนบุรี,22.45,9.26,10.71,52.88,366,13.949,101.247,Moderate,#ffff00,บ้านสร้าง|ปราจีนบุรี
ปลวกแดง,ระยอง,19.16,9.01,8.53,48.64,366,12.979,101.251,Moderate,#ffff00,ปลวกแดง|ระยอง
