amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
หนองมะโมง,ชัยนาท,26.36,13.47,10.29,60.62,366,12.585153796779789,100.96298545662339,Unhealthy for Sensitive,#ff7e00,หนองมะโมง|ชัยนาท,11239148.13,1412376.223
พุนพิน,สุราษฎร์ธานี,15.55,4.69,9.02,27.97,366,12.583983383606267,101.5098743218721,Moderate,#ffff00,พุนพิน|สุราษฎร์ธานี,11300027.52,1412242.726
หนองบัวแดง,ชัยภูมิ,24.73,13.02,9.87,53.51,366,12.57317400449665,100.93363731662814,Moderate,#ffff00,หนองบัวแดง|ชัยภูมิ,11235881.11,1411009.84
สรรพยา,ชัยนาท,25.81,12.63,10.52,58.75,366,12.569734893574342,100.95198675377921,Unhealthy for Sensitive,#ff7e00,สรรพยา|ชัยนาท,11237923.76,1410617.596
เคียนซา,สุราษฎร์ธานี,16.33,5.02,9.75,28.18,366,12.568834057468278,101.70019175729179,Moderate,#ffff00,เคียนซา|สุราษฎร์ธานี,11321213.56,1410514.853
เกาะพะงัน,สุราษฎร์ธานี,19.35,7.27,10.07,39.35,366,12.560385116252803,101.45214121552925,Moderate,#ffff00,เกาะพะงัน|สุราษฎร์ธานี,11293600.7,1409551.244
ตาคลี,นครสวรรค์,25.67,12.5,10.52,58.28,366,12.558251322512108,102.57128512386204,Unhealthy for Sensitive,#ff7e00,ตาคลี|นครสวรรค์,11418183.23,1409307.888
พระแสง,สุราษฎร์ธานี,16.45,5.04,9.87,28.87,366,12.556978969555198,101.5685930597447,Moderate,#ffff00,พระแสง|สุราษฎร์ธานี,11306564.06,1409162.779
ภูเขียว,ชัยภูมิ,24.65,12.76,10.11,52.59,366,12.549381135409778,100.97121645007718,Moderate,#ffff00,ภูเขียว|ชัยภูมิ,11240064.4,1408296.278
ขลุง,จันทบุรี,17.69,8.02,6.99,39.78,366,12.54049808563921,102.29804914529936,Moderate,#ffff00,ขลุง|จันทบุรี,11387766.74,1407283.236
สรรคบุรี,ชัยนาท,25.41,12.24,10.32,57.66,366,12.519253038384305,100.95585966046363,Unhealthy for Sensitive,#ff7e00,สรรคบุรี|ชัยนาท,11238354.89,1404860.547
เมืองชัยภูมิ,ชัยภูมิ,23.0,13.74,6.01,80.19,366,12.519191554974919,100.97073360561197,Moderate,#ffff00,เมืองชัยภูมิ|ชัยภูมิ,11240010.65,1404853.536
เมืองมหาสารคาม,มหาสารคาม,26.38,13.69,10.48,60.91,366,12.515323157075775,99.70488457058822,Unhealthy for Sensitive,#ff7e00,เมืองมหาสารคาม|มหาสารคาม,11099096.98,1404412.423
แหลมสิงห์,จันทบุรี,17.08,7.93,6.31,39.11,366,12.511673841553478,101.9496018094053,Moderate,#ffff00,แหลมสิงห์|จันทบุรี,11348977.76,1403996.298
นายายอาม,จันทบุรี,19.17,8.35,8.61,43.94,366,12.46732346973665,102.12268075418578,Moderate,#ffff00,นายายอาม|จันทบุรี,11368244.82,1398939.573
